Key,English,French
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,Une requête pour la collecte de $QUEST_END_ITEM_NAME$s a été soumise. Peux tu aller en récupérer ?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Récoltez 45 Bandages Grrr afin de pouvoir soigner les patients.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Collecter des Ampères sur les Volts pour les Dwarpets
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,Les apprentis médecins ont besoin de Booposn pour la production d'anesthésiques.
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,Ramasser du $QUEST_END_ITEM_NAME$ pour les apprentis médecins.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,La ville cherche à remplacer ses outils à travailler le bois et a besoin pour cela de Rootie.\nAcceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,"Si tu n'es pas au courant, tu peux trouver des $QUEST_END_ITEM_NAME$ sur les $QUEST_END_ITEM_MON$."
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Tu peux récupérer des $QUEST_END_ITEM_NAME$ sur les $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,"Tu peux ramasser des $QUEST_END_ITEM_NAME$s juste avant le pont de la Rivière de Larmes, sur la rive sud."
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Tu peux trouver des IDs inconnues dans le territoire des Bangs au nord-est de la Rivière de Larmes
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Tu peux ramasser du Nyang au nord de Rivière de Larmes. Il s'agit de la nourriture préférée des Géants Nyangnyang.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Tu peux rassembler les Documents officiels volés sur le territoire des Mias. 
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,"Tu n'es pas intéressé par cette mission ? Tant pis… Mais si tu changes d'avis, reviens me voir."
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,"Les dwarpets ont besoin d'$QUEST_END_ITEM_NAME$s, il t'en manque encore."
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,Tu n'as pas collecté assez de $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Excellent travail ! Tu as terminé la quête.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,"Excellent travail ! Ces objets seront très utiles, prends ceci en récompense."
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ est heureuse de voir la quête accomplie et elle continue de trouver des demandes.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ était heureuse d'apprendre que cette quête était terminée.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ était heureuse d'apprendre que vous avez réussi à terminer sa mission.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Groupe d'Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Is aimerait que tu récoltes des Chupims pour son groupe. Acceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Collecter des Chupims sur des Pukepuke au nord de Flarine.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Situation inconnue - première partie
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,Pang à Flaris aimerait que tu trouves des Lettres inconnues.\nAcceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,Collecter des $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,Pang à Flaris te demande de rassembler des IDs inconnues.\nAcceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Planche volante
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior a besoin de Carapaces de Peaky pour la production massive de planches volantes. Acceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Collecter des Carapaces de Peaky sur des Peakyturtles dans la Plaine de Bubble
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Nouveau départ
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,La maternelle a besoin de Peluches pour les enfants.\nAcceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,Collecter 3 Peluches sur des Démians à Madren
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Gemme pour baguettes magiques
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,Le Cercle de Magie de Madrigal a besoin de Poporams pour sertir les baguettes magiques avec ces gemmes. Acceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,Collecter 4 Poporams sur des Doridomas au sud-ouest du Territoire des Grands Dwarpets
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget","Four à biscuits, Valin Baget"
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin a besoin de Griffes pour la fabrication de fuel alimentant son four à biscuits.\nAcceptes-tu cette mission?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,"Collecter des Griffes sur des Lawolfs, juste au sud de la Rivière de Larmes"
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Crayons magiques
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Mule recherche des Racines de Tarin pour fabriquer de nouveaux crayons magiques. Acceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,"Collecter des Racines de Tarin sur les Feferns, au nord-ouest de la Rivière de Larmes"
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Miam miam
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,Rooney aimerait que tu trouves du Nyang pour son groupe. Acceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,"Ramasser des Nyangs, la nourriture préférée des Géants Nyangnyang, au nord de la Rivière de Larmes."
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,Cadeau
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Marche recherche des Pierres galactiques pour en faire un cadeau. Acceptes-tu de remplir cette quête ?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Collecter des Pierres galactiques sur les Nyangnyang au nord de la Rivière de Larmes
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Liqueur de Mustang
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Mustang recherche des Ailes dorées pour la fabrication d'une nouvelle liqueur... Acceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Collecter des Ailes dorées sur les Bangs au nord-est de la Rivière de Larmes
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Dessert sucré
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Damian a besoin de Miel bleu pour cuisiner son dessert favori. Acceptes-tu de l'aider dans cette tâche ?
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Collecter des Miels bleus sur les Wagsaacs
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Poupées
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,La maternelle aimerait des Poupées Mia pour les offrir aux enfants.\nAcceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,Collecter des Poupées sur les Mias.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Documents perdus
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Julia te demande de récupérer les Documents officiels volés par les Mias.\nAcceptes-tu de remplir cette mission?
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Collecter des Documents officiels sur le territoire des Mias.
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Feu furieux
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Boboko a besoin d'Allumettes furieuses pour démarrer son fourneau. Acceptes-tu de l'aider ?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Collecter des Allumettes furieuses sur les Pumpkins
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Situation inconnue - troisième partie
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,Pang à Flaris te demande de nouveau de collecter des Lettres inconnues.\nAcceptes-tu cette mission?
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,Collecter des Lettres inconnues près du pont de la Rivière de Larmes de Flaris.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,"Source délicieuse, Remantororo "
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kalin recherche des Cardrins pour la création de la source de Remantororo.\nAcceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Collecter des Cardrins sur les Mantis.
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Orbe magique
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin réclame des Perles martelées pour fabriquer un orbe magique. Acceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Collecter des Perles martelées sur les Jackhammers
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,Succès de Bill
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill a besoin de Giggems pour créer sa marque. Acceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Collecter des Giggems sur les Gigglebox
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Réparation du Saint Hall
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Helena réclame des Pierres de Lune pour entamer les travaux de réparation du Saint Hall.\nAcceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Collecter des $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Sauvetage
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,L'Association Animalière de Madrigal a besoin de Bobandes afin de venir en aide aux animaux blessés.\nAcceptes-tu cette mission ? 
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,Collecter des Bobandes sur les Hobos
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,Collection étrange
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,Le collectionneur mystérieux recherche des Anneaux de bull pour sa collection.\nAcceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,Par amour
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Mayer a besoin de Kalins pour les offrir à son épouse.\nAcceptes-tu de l'aider ?
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Collecter des Kalins sur les Totemias.
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Cœur faible
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Helena recherche des Cœurs mécaniques afin de fabriquer un nouveau cœur pour son frère malade. Acceptes-tu de l'aider ?
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Marbre diabolique
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,"Bill a besoin de Marbre tombal pour fabriquer le meilleur marbre, le marbre diabolique. Acceptes-tu cette mission ?"
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Collecter des morceaux de Marbre tombal sur les Tombstones.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,Rêve de combattants 
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,Les combattants ont besoin de Poings dorés pour fabriquer des gants dorés.\nAcceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,Collecter des Poings dorés sur les Basks.
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Billes pour enfants
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Mayer recherche des Orbes perlés afin d'offrir des billes à son fils. Acceptes-tu de l'aider ?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Collecter des Orbes perlés sur les Pranksters.
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),Collection étrange - seconde partie
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Le collectionneur mystérieux recherche des $QUEST_END_ITEM_NAME$ pour sa collection. Acceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,Collecter des $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,Lentilles de Ollien
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,Ollien a besoin de Larmes de vapeur pour fabriquer de nouvelles lentilles.\nAcceptes-tu de l'aider ?
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Collecter des Larmes de vapeur sur les Steamwalkers.
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,Echarpe rouge
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,Les soldats réclament des Foulards rouge pour en faire des écharpes.\nAcceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,Collecter des Foulards rouges sur les Steelknights.
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,Festivités
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,Les Dwarpets veulent utiliser des Godillots lors de leur prochain festival.\nAcceptes-tu de les aider?
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,Collecter des Godillots sur les Nuttywheels.
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,Grue à l'arrêt
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,Le responsable du complexe industriel des Erons a besoin de Droil pour l'utiliser comme carburant pour ses grues.\nAcceptes-tu de l'aider ?
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Collecter des échantillons de Droil sur les Drillers.
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,Besoin urgent de bandages
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,Radiations
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),Collection étrange - troisième partie
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,Pneumatiques
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,Les Dwarpets ont un besoin urgent de Roues Dump.
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,Collecter des Roues sur les Dumps pour les Dwarpets
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),Collection étrange - quatrième partie
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,Le collectionneur mystérieux cherche des Détritons pour agrandir sa collection. Acceptes-tu de l'aider ?
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,Relique perdue
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,"Une veuve a perdu la relique de son mari, une pierre précieuse, et nous demande donc de trouver de l'Eronior, la matière première du joyau.\nAcceptes-tu de lui rendre ce service ?"
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,Récolter de l'Eronior sur les Cranechinery
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,Déguisement de Remina
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,Remina nous demande de collecter des Repygles pour se confectionne un déguisement. 
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Trouver des $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,Joli papier peint
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,"Heaven nous demande de trouver du Sycale, afin d'en faire un papier peint pour redécorer la boutique de magie.\nAcceptes-tu cette mission ?"
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,Trouver du Sycale de Syliacas pour la décoration du magasin d'objets magiques de Heaven
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),Collection étrange - cinquième partie
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Le collectionneur mystérieux recherche des $QUEST_END_ITEM_NAME$ pour sa collection. Acceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,Collecter des Larmes mong de Greemongs pour le collectionneur mystérieux
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,Besoins en anesthésiques
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,Feu d'artifice
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,Le pyrotechnicien nous demande des Minuteurs pour le prochain feu d'artifice.\nAcceptes-tu cette quête ?
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,Tu peux obtenir ces Minuteurs sur les Caboom.
